month,department,category,gl_account,description,cost_2025,cost_2024,monthly_budget
2025-01,Sales,Payroll,4000,Sales Payroll expense,102591.41,99449.85,109028.54
2025-01,Sales,Software,4001,Sales Software expense,14567.96,14121.86,13628.57
2025-01,Sales,Travel,4002,Sales Travel expense,67604.52,65534.33,68142.84
2025-01,Sales,Consulting,4003,Sales Consulting expense,27035.32,26207.44,27257.13
2025-01,Sales,Facilities,4004,Sales Facilities expense,56795.56,55056.36,54514.27
2025-01,Marketing,Payroll,4001,Marketing Payroll expense,76999.03,72482.76,75342.96
2025-01,Marketing,Software,4002,Marketing Software expense,22861.84,21520.91,21526.56
2025-01,Marketing,Travel,4003,Marketing Travel expense,35909.7,33803.47,32289.84
2025-01,Marketing,Consulting,4004,Marketing Consulting expense,54425.83,51233.56,53816.4
2025-01,Marketing,Facilities,4005,Marketing Facilities expense,32468.41,30564.02,32289.84
2025-01,IT,Payroll,4002,IT Payroll expense,33600.81,33388.56,30230.3
2025-01,IT,Software,4003,IT Software expense,44687.24,44404.96,40307.07
2025-01,IT,Travel,4004,IT Travel expense,5523.91,5489.02,5038.38
2025-01,IT,Consulting,4005,IT Consulting expense,15860.06,15759.88,15115.15
2025-01,IT,Facilities,4006,IT Facilities expense,9701.56,9640.28,10076.77
2025-01,HR,Payroll,4003,HR Payroll expense,30265.16,28597.09,29913.95
2025-01,HR,Software,4004,HR Software expense,2729.08,2578.67,2492.83
2025-01,HR,Travel,4005,HR Travel expense,4844.51,4577.5,4985.66
2025-01,HR,Consulting,4006,HR Consulting expense,7874.62,7440.61,7478.49
2025-01,HR,Facilities,4007,HR Facilities expense,5447.01,5146.8,4985.66
2025-01,Finance,Payroll,4004,Finance Payroll expense,29257.51,29534.21,30738.14
2025-01,Finance,Software,4005,Finance Software expense,5868.4,5923.9,6147.63
2025-01,Finance,Travel,4006,Finance Travel expense,2891.86,2919.21,3073.81
2025-01,Finance,Consulting,4007,Finance Consulting expense,11810.67,11922.37,12295.25
2025-01,Finance,Facilities,4008,Finance Facilities expense,9323.23,9411.4,9221.44
